n,E_n,norm,theoretical_nodes
1,4.934802200544679,1.0,0
2,19.739208802178716,1.0,1
3,44.41321980490211,1.0000000000000002,2
4,78.95683520871486,1.0,3
5,123.37005501361698,1.0,4
6,177.65287921960845,1.0000000000000004,5
7,241.80530782668927,1.0,6
8,315.82734083485946,1.0,7
9,399.718978244119,1.0000000000000002,8
10,493.4802200544679,1.0,9
