transition_index,x_start,x_end,D_T,u
0,0.0,0.00025,0.00019635686794439177,0.00681266748330975
1,0.00025,0.0005,0.0005890327678983,0.020436689719460877
2,0.0005,0.00075,0.0009815951690024941,0.03405677407490054
3,0.00075,0.001,0.0013739684352050588,0.04767029633140382
4,0.001,0.00125,0.0017660769752195753,0.06127463382389973
5,0.00125,0.0015,0.002157845260418633,0.07486716606129261
6,0.0015,0.00175,0.002549197842714669,0.08844527534684386
7,0.00175,0.002,0.0029400593724245093,0.10200634739798822
8,0.002,0.0022500000000000003,0.003330354616114003,0.11554777196545934
9,0.0022500000000000003,0.0025,0.003720008474419163,0.12906694345160022
10,0.0025,0.00275,0.004108945999840243,0.14256126152773466
11,0.00275,0.003,0.004497092414505091,0.1560281317504729
12,0.003,0.0032500000000000003,0.004884373127898281,0.16946496617682966
13,0.0032500000000000003,0.0035,0.00527071375455253,0.1828691839780338
14,0.0035,0.00375,0.005656040131698657,0.1962382120518998
15,0.00375,0.004,0.006040278336870827,0.20956948563364725
16,0.004,0.00425,0.006423354705463285,0.22286044890503792
17,0.00425,0.0045000000000000005,0.006805195848235446,0.23610855560172064
18,0.0045000000000000005,0.00475,0.007185728668761521,0.24931126961865185
19,0.00475,0.005,0.007564880380821542,0.2624660656134833
20,0.005,0.00525,0.007942578525729983,0.275570429607784
21,0.00525,0.0055,0.008318750989599182,0.28862185958600084
22,0.0055,0.00575,0.008693326020533765,0.3016178660920247
23,0.00575,0.006,0.009066232245752407,0.31455597282323555
24,0.006,0.00625,0.009437398688634604,0.3274337172219464
25,0.00625,0.006500000000000001,0.009806754785688586,0.3402486510641102
26,0.006500000000000001,0.00675,0.010174230403436506,0.3529983410451573
27,0.00675,0.007,0.010539755855215443,0.3656803693629124
28,0.007,0.00725,0.010903261917888755,0.3782923342973998
29,0.00725,0.0075,0.011264679848467006,0.3908318507875123
30,0.0075,0.00775,0.011623941400633686,0.403296551004377
31,0.00775,0.008,0.01198097884117278,0.41568408492131476
32,0.008,0.00825,0.012335724966296806,0.4279921208803473
33,0.00825,0.0085,0.012688113117870093,0.4402183461550693
34,0.0085,0.00875,0.013038077199526198,0.45236046750984715
35,0.00875,0.009000000000000001,0.013385551692675326,0.4644162117552025
36,0.009000000000000001,0.00925,0.013730471672399798,0.47638332629931024
37,0.00925,0.0095,0.014072772823235243,0.48825957969553246
38,0.0095,0.00975,0.014412391454831544,0.5000427621857804
39,0.00975,0.01,0.01474926451749714,0.5117306862398288
40,0.01,0.01025,0.015083329617617032,0.5233211870902494
41,0.01025,0.0105,0.015414525032947225,0.5348121232630563
42,0.0105,0.010750000000000001,0.01574278972778021,0.5462013771038775
43,0.010750000000000001,0.011,0.016068063367980417,0.557486855299615
44,0.011,0.01125,0.01639028633588763,0.568666489395524
45,0.01125,0.0115,0.016709399745083044,0.5797382363075261
46,0.0115,0.01175,0.017025345455021407,0.5907000788298761
47,0.01175,0.012,0.017338066085520732,0.6015500261378879
48,0.012,0.01225,0.017647505031112565,0.6122861142858214
49,0.01225,0.0125,0.017953606475247998,0.6229064066997654
50,0.0125,0.012750000000000001,0.018256315404358313,0.6334089946654757
51,0.012750000000000001,0.013000000000000001,0.018555577621768356,0.6437919978111052
52,0.013000000000000001,0.01325,0.018851339761461576,0.6540535645847856
53,0.01325,0.0135,0.019143549301694734,0.6641918727269949
54,0.0135,0.01375,0.01943215457845791,0.6742051297375564
55,0.01375,0.014,0.019717104798784628,0.6840915733374389
56,0.014,0.01425,0.019998350053904546,0.6938494719250922
57,0.01425,0.0145,0.02027584133223984,0.7034771250273625
58,0.0145,0.014750000000000001,0.020549530532245477,0.7129728637449891
59,0.014750000000000001,0.015,0.020819370475088753,0.7223350511925256
60,0.015,0.01525,0.021085314917172415,0.7315620829328333
61,0.01525,0.0155,0.02134731856249258,0.7406523874058443
62,0.0155,0.01575,0.02160533707484024,0.7496044263518956
63,0.01575,0.016,0.021859327089839148,0.7584166952293888
64,0.016,0.01625,0.02210924622681783,0.7670877236266929
65,0.01625,0.0165,0.022355053100525244,0.7756160756686228
66,0.0165,0.01675,0.02259670733267743,0.784000350417055
67,0.01675,0.017,0.022834169563344612,0.7922391822660059
68,0.017,0.01725,0.02306740146217157,0.8003312413309274
69,0.01725,0.0175,0.023296365739439124,0.808275233832488
70,0.0175,0.017750000000000002,0.02352102615695838,0.8160699024745529
71,0.017750000000000002,0.018000000000000002,0.02374134753880297,0.8237140268165423
72,0.018000000000000002,0.01825,0.023957295781884033,0.8312064236403338
73,0.01825,0.0185,0.024168837866357304,0.8385459473113406
74,0.0185,0.01875,0.024375941865871022,0.8457314901340652
75,0.01875,0.019,0.024578576957658773,0.8527619827022745
76,0.019,0.01925,0.024776713432468837,0.8596363942435017
77,0.01925,0.0195,0.02497032270433941,0.8663537329582008
78,0.0195,0.01975,0.02515937732021613,0.8729130463534303
79,0.01975,0.02,0.025343850969417752,0.8793134215712672
80,0.02,0.02025,0.025523718492948752,0.885553985711912
81,0.02025,0.0205,0.025698955892662845,0.8916339061516191
82,0.0205,0.02075,0.025869540340279534,0.8975523908555291
