u_threshold,R_empirical,R_exponential,residual
0.0,1.0,1.2509623517798714,-0.25096235177987136
0.005025125628140704,1.0,1.243968880421596,-0.24396888042159603
0.010050251256281407,0.999,1.2370145058767215,-0.23801450587672146
0.01507537688442211,0.999,1.2300990095755648,-0.23109900957556484
0.020100502512562814,0.999,1.2232221741703506,-0.22422217417035062
0.02512562814070352,0.998,1.216383783528381,-0.21838378352838106
0.03015075376884422,0.998,1.209583622725242,-0.2115836227252419
0.035175879396984924,0.997,1.202821478038048,-0.20582147803804796
0.04020100502512563,0.997,1.196097136938726,-0.1990971369387261
0.04522613065326633,0.997,1.1894103880873361,-0.19241038808733613
0.05025125628140704,0.996,1.1827610213254276,-0.1867610213254276
0.05527638190954774,0.996,1.1761488276694354,-0.1801488276694354
0.06030150753768844,0.996,1.1695735993041114,-0.17357359930411143
0.06532663316582915,0.995,1.163035129575993,-0.1680351295759931
0.07035175879396985,0.995,1.1565332129869086,-0.1615332129869086
0.07537688442211056,0.994,1.1500676451875178,-0.1560676451875178
0.08040201005025126,0.994,1.1436382229708901,-0.14963822297089013
0.08542713567839195,0.994,1.1372447442661184,-0.14324474426611844
0.09045226130653267,0.993,1.1308870081319669,-0.13788700813196686
0.09547738693467336,0.993,1.124564814750556,-0.13156481475055604
0.10050251256281408,0.993,1.1182779654210837,-0.12527796542108371
0.10552763819095477,0.992,1.112026262553579,-0.12002626255357907
0.11055276381909548,0.992,1.1058095096626919,-0.11380950966269188
0.11557788944723618,0.991,1.0996275113615188,-0.10862751136151882
0.12060301507537688,0.991,1.0934800733554615,-0.1024800733554615
0.12562814070351758,0.991,1.0873670024361202,-0.09636700243612017
0.1306532663316583,0.99,1.0812881064752218,-0.09128810647522179
0.135678391959799,0.99,1.0752431944185805,-0.08524319441858053
0.1407035175879397,0.99,1.0692320762800946,-0.07923207628009465
0.1457286432160804,0.989,1.0632545631357744,-0.07425456313577439
0.15075376884422112,0.989,1.0573104671178037,-0.06831046711780375
0.15577889447236182,0.989,1.051399601408638,-0.062399601408637984
0.16080402010050251,0.988,1.0455217802351295,-0.05752178023512955
0.1658291457286432,0.988,1.0396768188626917,-0.05167681886269171
0.1708542713567839,0.987,1.0338645335894907,-0.04686453358949072
0.17587939698492464,0.987,1.0280847417406733,-0.041084741740673336
0.18090452261306533,0.987,1.022337261662625,-0.035337261662624964
0.18592964824120603,0.986,1.0166219127172609,-0.03062191271726089
0.19095477386934673,0.986,1.0109385152763486,-0.024938515276348605
0.19597989949748745,0.986,1.0052868907158623,-0.019286890715862315
0.20100502512562815,0.985,0.9996668614103695,-0.014666861410369547
0.20603015075376885,0.985,0.9940782507274474,-0.00907825072744739
0.21105527638190955,0.984,0.9885208830221319,-0.0045208830221319385
0.21608040201005024,0.984,0.9829945836313979,0.0010054163686020745
0.22110552763819097,0.984,0.9774991788686687,0.006500821131331325
0.22613065326633167,0.983,0.972034496018358,0.010965503981641977
0.23115577889447236,0.983,0.9666003633304414,0.01639963666955857
0.23618090452261306,0.982,0.9611966100150583,0.02080338998494169
0.24120603015075376,0.982,0.955823066237144,0.026176933762856014
0.24623115577889448,0.982,0.9504795631110925,0.03152043688890749
0.25125628140703515,0.981,0.9451659326954481,0.03583406730455185
0.2562814070351759,0.981,0.9398820079876273,0.04111799201237265
0.2613065326633166,0.981,0.9346276229186701,0.04637237708132991
0.2663316582914573,0.98,0.9294026123480204,0.05059738765197963
0.271356783919598,0.98,0.9242068120583359,0.0557931879416641
0.2763819095477387,0.979,0.9190400587503271,0.059959941249672855
0.2814070351758794,0.979,0.913902190037625,0.06509780996237502
0.2864321608040201,0.979,0.9087930444416766,0.07020695555832335
0.2914572864321608,0.978,0.903712461386671,0.07428753861332893
0.2964824120603015,0.978,0.8986602811944918,0.07933971880550816
0.30150753768844224,0.978,0.8936363450796987,0.08436365492030129
0.3065326633165829,0.977,0.8886404951445374,0.08835950485546262
0.31155778894472363,0.977,0.8836725743739764,0.09332742562602359
0.3165829145728643,0.976,0.878732426630773,0.09726757336922698
0.32160804020100503,0.976,0.8738198966505649,0.10218010334943506
0.32663316582914576,0.976,0.8689348300369917,0.1070651699630083
0.3316582914572864,0.975,0.8640770732568412,0.11092292674315873
0.33668341708542715,0.975,0.859246473635225,0.11575352636477498
0.3417085427135678,0.974,0.8544428793507788,0.1195571206492212
0.34673366834170855,0.974,0.8496661394308923,0.12433386056910767
0.35175879396984927,0.974,0.8449161037469631,0.12908389625303685
0.35678391959798994,0.973,0.840192623009679,0.13280737699032097
0.36180904522613067,0.973,0.8354955487643251,0.1375044512356749
0.36683417085427134,0.972,0.8308247333861194,0.14117526661388058
0.37185929648241206,0.972,0.8261800300755715,0.14581996992442847
0.3768844221105528,0.972,0.8215612928538703,0.15043870714612972
