x,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00025,0.0011107206203481968,0.0022214405555481087,0.003332159120451873,0.0044428756299124735,0.00555358939878416,0.006664299741922874,0.00777500597418667,0.00888570741043614,0.00999640336553483,0.011107093154349674,1.2337002964666831e-06,4.93479814183389e-06,1.1103284404010601e-05,1.973914386287016e-05,3.0842355210287806e-05,4.441289105019329e-05,6.0450717898638416e-05,7.895579618387972e-05,9.992808024647609e-05,0.0001233675183394014
0.0005,0.0022214405555481087,0.0044428756299124735,0.006664299741922874,0.00888570741043614,0.011107093154349674,0.01332845149261497,0.015549776944251154,0.017771064028358485,0.019992307264131894,0.022213501170874506,4.93479814183389e-06,1.973914386287016e-05,4.441289105019329e-05,7.895579618387972e-05,0.0001233675183394014,0.00017764761919099022,0.00024179556301596477,0.0003158107167000169,0.0003996923497434609,0.000493439634268443
0.00075,0.003332159120451873,0.006664299741922874,0.00999640336553483,0.01332845149261497,0.016660425624798622,0.019992307264131894,0.023324077913174403,0.026655719075101923,0.029987212253809115,0.03331853895401218,1.1103284404010601e-05,4.441289105019329e-05,9.992808024647609e-05,0.00017764761919099022,0.00027756978199944656,0.0003996923497434609,0.00054401261049983,0.0007105273594107525,0.0008992328987549996,0.0011101250380300273
0.001,0.0044428756299124735,0.00888570741043614,0.01332845149261497,0.017771064028358485,0.022213501170874506,0.026655719075101923,0.031097673898143417,0.03553932179969818,0.039980618942494585,0.04442152149272285,1.973914386287016e-05,7.895579618387972e-05,0.00017764761919099022,0.0003158107167000169,0.000493439634268443,0.0007105273594107525,0.0009670653218752704,0.0012630433939825024,0.0015984498910249568,0.001973271571728438
0.00125,0.00555358939878416,0.011107093154349674,0.016660425624798622,0.022213501170874506,0.02776623415728293,0.03331853895401218,0.03887032993765378,0.04442152149272285,0.04997202801297848,0.0555217639027438,3.0842355210287806e-05,0.0001233675183394014,0.00027756978199944656,0.000493439634268443,0.0007709637592770653,0.0011101250380300273,0.001510902549462064,0.001973271571728438,0.002497203583729906,0.0030826662668720244
0.0015,0.006664299741922874,0.01332845149261497,0.019992307264131894,0.026655719075101923,0.03331853895401218,0.039980618942494585,0.04664181109861145,0.05330196750014082,0.059960940247861284,0.06661858146883637,4.441289105019329e-05,0.00017764761919099022,0.0003996923497434609,0.0007105273594107525,0.0011101250380300273,0.0015984498910249568,0.0021754585425585544,0.0028410997393860686,0.0035953143554075914,0.004438035396919988
0.00175,0.00777500597418667,0.015549776944251154,0.023324077913174403,0.031097673898143417,0.03887032993765378,0.04664181109861145,0.05441188248343378,0.06218030923714946,0.0699468565544971,0.07771128968702239,6.0450717898638416e-05,0.00024179556301596477,0.00054401261049983,0.0009670653218752704,0.001510902549462064,0.0021754585425585544,0.002960652955391008,0.0038663908568275346,0.004892562741855394,0.006039044544820312
0.002,0.00888570741043614,0.017771064028358485,0.026655719075101923,0.03553932179969818,0.04442152149272285,0.05330196750014082,0.06218030923714946,0.07105619620201917,0.07992927798993052,0.08879920430680767,7.895579618387972e-05,0.0003158107167000169,0.0007105273594107525,0.0012630433939825024,0.001973271571728438,0.0028410997393860686,0.0038663908568275346,0.005048983018699843,0.006388689479991591,0.00788529868552217
0.0022500000000000003,0.009996403365534832,0.019992307264131894,0.029987212253809122,0.039980618942494585,0.04997202801297848,0.0599609402478613,0.0699468565544971,0.07992927798993053,0.08990770578582621,0.0998816413733897,9.992808024647613e-05,0.0003996923497434609,0.000899232898755,0.0015984498910249568,0.002497203583729906,0.0035953143554075927,0.004892562741855394,0.006388689479991594,0.008083395559670688,0.009976342283442434
