angle_index,x_vertex,theta_deg,is_ge_170
0,0.00025,0.0010767818815492223,False
1,0.0005,0.002153759731824988,False
2,0.00075,0.0032311296857221914,False
3,0.001,0.004309089056065391,False
4,0.00125,0.005387834231849513,False
5,0.0015,0.006467562253816556,False
6,0.00175,0.007548470842078183,False
7,0.002,0.00863075814556541,False
8,0.0022500000000000003,0.009714622992755004,False
9,0.0025,0.010800264852686672,False
10,0.00275,0.011887884242535713,False
11,0.003,0.012977682420330434,False
12,0.0032500000000000003,0.014069861863352922,False
13,0.0035,0.015164626102338642,False
14,0.00375,0.01626217990854097,False
15,0.004,0.01736272921538782,False
16,0.00425,0.01846648171362104,False
17,0.0045000000000000005,0.019573646419330567,False
18,0.00475,0.02068443406086792,False
19,0.005,0.021799057072988445,False
20,0.00525,0.022917729791758285,False
21,0.0055,0.02404066840506596,False
22,0.00575,0.025168091298903843,False
23,0.006,0.026300218986910415,False
24,0.00625,0.027437274260304734,False
25,0.006500000000000001,0.028579482317691397,False
26,0.00675,0.029727070915829067,False
27,0.007,0.030880270393176153,False
28,0.00725,0.03203931390439397,False
29,0.0075,0.03320443752789327,False
30,0.00775,0.03437588025398645,False
31,0.008,0.03555388430055899,False
32,0.00825,0.036738695116237445,False
33,0.0085,0.03793056159912758,False
34,0.00875,0.03912973616747194,False
35,0.009000000000000001,0.04033647488335549,False
36,0.00925,0.04155103772285071,False
37,0.0095,0.04277368858715846,False
38,0.00975,0.04400469550947161,False
39,0.01,0.04524433080973723,False
40,0.01025,0.04649287124468407,False
41,0.0105,0.047750598160171326,False
42,0.010750000000000001,0.04901779771833683,False
43,0.011,0.05029476093113145,False
44,0.01125,0.05158178400564152,False
45,0.0115,0.05287916838830088,False
46,0.01175,0.054187220966806705,False
47,0.012,0.0555062543432387,False
48,0.01225,0.05683658701739583,False
49,0.0125,0.05817854344256199,False
50,0.012750000000000001,0.05953245436398279,False
51,0.013000000000000001,0.060898657029249785,False
52,0.01325,0.062277495317158045,False
53,0.0135,0.06366932006448947,False
54,0.01375,0.06507448919500029,False
55,0.014,0.0664933680447612,False
56,0.01425,0.06792632954180595,False
57,0.0145,0.06937375446352956,False
58,0.014750000000000001,0.07083603172757341,False
59,0.015,0.0723135586282293,False
60,0.01525,0.07380674111715932,False
61,0.0155,0.07531599407126244,False
62,0.01575,0.07684174158460617,False
63,0.016,0.07838441730153871,False
64,0.01625,0.07994446465471691,False
65,0.0165,0.08152233727252106,False
66,0.01675,0.0831184991794134,False
67,0.017,0.08473342530348757,False
68,0.01725,0.08636760162733831,False
69,0.0175,0.08802152570387772,False
70,0.017750000000000002,0.08969570694214428,False
71,0.018000000000000002,0.09139066701940143,False
