Grandeur,Valeur,Unite
Puissance électromagnétique,3.828e+26,W
Puissance emportée par les neutrinos,9.116531008504107e+24,W
Puissance nucléaire totale,3.9191653100850415e+26,W
Masse convertie en lumière,4259224414.5732517,kg/s
Masse convertie en énergie des neutrinos,101435087.37626646,kg/s
Masse totale convertie par E/c²,4360659501.949518,kg/s
Défaut de masse direct,4360659464.263672,kg/s
Écart absolu entre les deux méthodes,-37.68584632873535,kg/s
Écart relatif entre les deux méthodes,8.642235494857408e-09,fraction
