n,E_n,N_transitions,N_angles,D_T_min,D_T_mean,D_T_max,S_T,S_T_norm,D_c,u_c,R_super,A_H,B_H,Survie_R2,Survie_RMSE,N_survie_fit,theta_mean,theta_median,theta_std,theta_max,R_170
0,0.5,4000,3999,0.0004999999999999449,0.0016605377793298174,0.0066137660545647495,0.0018015684001906535,1.0849306908980747,0.005996036221988901,0.9065993826392607,0.05,0.7556168941503786,3.0342774240679833,0.810582394670177,0.10603680708689628,3107,0.12272350227489336,0.053293325633069155,0.14831134543294272,0.4918473808869959,0.0
1,1.5,4000,3999,0.0004999999999999449,0.0021706484479272338,0.009175001509484802,0.002554737052613846,1.176946481155611,0.008200344835520417,0.8937704072357024,0.05,0.7370868271092358,3.1431430850190525,0.8200686599350299,0.1060797033467056,3210,0.17352809194884108,0.11064043028795494,0.21458288379298693,0.8606503775683929,0.0
2,2.5,4000,3999,0.0004999999999999449,0.0029707089839490475,0.010784139189697922,0.003446792981566241,1.1602593859545007,0.010277683835800758,0.9530370162153525,0.05,0.7403488743785059,2.5553926477135867,0.8474353794371614,0.10103763163961312,3369,0.23071400494918848,0.17359254393585694,0.2727931700262871,1.029685564289783,0.0
3,3.5,4000,3999,0.0004999999999999449,0.0036901958492583844,0.012264713690131808,0.004098759089517273,1.1107158690076022,0.0113046076912776,0.9217180259473396,0.05,0.7589628794687819,2.2986783055950744,0.865000085668425,0.0978452833858009,3492,0.28703056183369097,0.2135643553261253,0.32472628070365167,1.2447339026734927,0.0
4,4.5,4000,3999,0.0004999999999999449,0.004420273308772617,0.013436152121964922,0.004682803271470602,1.059392246668766,0.012628351541857366,0.9398785773802758,0.05,0.7822478376867896,2.104336469019098,0.878609530456036,0.09552882817170524,3624,0.34226115644200156,0.2582251672580164,0.36757498845522785,1.3773820712720746,0.0
5,5.5,4000,3999,0.0004999999999999455,0.0051101989860705644,0.014505496348149828,0.005155141924338194,1.008794753079114,0.013742972187571223,0.9474320531833532,0.05,0.8041424746202374,1.9753108605081553,0.8883336657002298,0.09343070369652556,3709,0.3971424015022805,0.29715442192127706,0.40643031667409196,1.5328708008132126,0.0
