n,d,R_survie_empirique,R_survie_exponentielle
0,0.07559989208491134,0.919,0.6007287179283116
0,0.07559989208491136,0.914,0.6007287179283116
0,0.07559989208491137,0.9115,0.6007287179283116
0,0.0755998920849114,0.9095,0.6007287179283115
0,0.07559989208491141,0.90775,0.6007287179283115
0,0.07559989208491143,0.907,0.6007287179283114
0,0.07559989208491144,0.906,0.6007287179283114
0,0.07559989208491145,0.90525,0.6007287179283114
0,0.07559989208491147,0.9045,0.6007287179283114
0,0.0755998920849115,0.904,0.6007287179283113
0,0.07559989208491151,0.90325,0.6007287179283113
0,0.07559989208491152,0.90275,0.6007287179283112
0,0.07559989208491154,0.902,0.6007287179283112
0,0.07559989208491155,0.9015,0.6007287179283112
0,0.0755998920849116,0.90075,0.6007287179283112
0,0.07559989208491161,0.90025,0.6007287179283112
0,0.07559989208491164,0.89975,0.6007287179283111
0,0.07559989208491165,0.8995,0.6007287179283111
0,0.07559989208491168,0.899,0.600728717928311
0,0.0755998920849117,0.8985,0.600728717928311
0,0.07559989208491172,0.89825,0.6007287179283108
0,0.07559989208491173,0.89775,0.6007287179283108
0,0.07559989208491179,0.89725,0.6007287179283108
0,0.0755998920849118,0.897,0.6007287179283107
0,0.07559989208491183,0.8965,0.6007287179283107
0,0.07559989208491188,0.896,0.6007287179283106
0,0.07559989208491191,0.89575,0.6007287179283105
0,0.07559989208491195,0.89525,0.6007287179283105
0,0.07559989208491201,0.89475,0.6007287179283104
0,0.07559989208491204,0.8945,0.6007287179283103
0,0.07559989208491208,0.894,0.6007287179283102
0,0.07559989208491216,0.8935,0.6007287179283102
0,0.07559989208491219,0.89325,0.6007287179283101
0,0.07559989208491225,0.89275,0.60072871792831
0,0.07559989208491234,0.89225,0.6007287179283098
0,0.0755998920849124,0.892,0.6007287179283096
0,0.07559989208491244,0.8915,0.6007287179283096
0,0.07559989208491255,0.891,0.6007287179283094
0,0.07559989208491262,0.89075,0.6007287179283093
0,0.07559989208491269,0.89025,0.6007287179283092
0,0.07559989208491283,0.88975,0.6007287179283088
0,0.07559989208491291,0.88925,0.6007287179283087
0,0.075599892084913,0.889,0.6007287179283085
0,0.07559989208491316,0.8885,0.6007287179283083
0,0.07559989208491326,0.888,0.6007287179283082
0,0.07559989208491336,0.88775,0.600728717928308
0,0.07559989208491355,0.88725,0.6007287179283075
0,0.07559989208491369,0.88675,0.6007287179283073
0,0.0755998920849138,0.8865,0.6007287179283071
