u_seuil,x_normalise,R_empirique,Utilise_pour_fit,R_weibull,R_logistique,R_gompertz,R_exponentielle_stabilisee
0.9942544181030618,0.0,0.9998858447488584,False,1.0,0.9467152241166991,1.0,1.260690343459127
0.9942774927291539,0.00401606425702074,0.9993150684931507,False,0.9999193102732584,0.9455433128734848,0.9975205603971267,1.250098020999808
0.9943005673552461,0.008032128514060804,0.9988584474885844,False,0.9997010412055948,0.9443471425104677,0.9950188367759217,1.2395946952521724
0.9943236419813382,0.012048192771081543,0.9976027397260274,False,0.9993568875320283,0.9431262780163161,0.9924947013976035,1.2291796184657942
0.9943467166074303,0.016064257028121608,0.996689497716895,False,0.9988926722381399,0.9418802795590936,0.9899480275152341,1.2188520491726476
0.9943697912335224,0.020080321285142345,0.9961187214611872,False,0.998312375709528,0.9406087025732437,0.9873786894259721,1.2086112521347216
0.9943928658596145,0.024096385542163087,0.9952054794520548,False,0.9976190538114352,0.939311097854793,0.9847865625241995,1.1984564982913268
0.9944159404857067,0.02811244979920315,0.9941780821917808,False,0.9968152126692861,0.9379870116652378,0.9821715233558341,1.188387064707345
0.9944390151117988,0.03212851405622389,0.9934931506849315,False,0.995902998996506,0.9366359858443664,0.9795334496737196,1.1784022345219047
0.9944620897378909,0.03614457831324463,0.9920091324200914,False,0.9948843098304635,0.9352575579322849,0.9768722204939816,1.1685012968970558
0.994485164363983,0.04016064257028469,0.9901826484018265,False,0.9937608613861201,0.9338512613010772,0.974187716153589,1.1586835469673116
0.9945082389900751,0.044176706827305436,0.9888127853881279,True,0.9925342349644686,0.9324166252963699,0.9714798183690145,1.1489482857896065
0.9945313136161673,0.0481927710843455,0.9866438356164383,True,0.9912059089971359,0.9309531753890605,0.9687484102958701,1.1392948202932094
0.9945543882422594,0.052208835341366236,0.9855022831050229,True,0.98977728222769,0.9294604333377035,0.9659933765898513,1.1297224632307563
0.9945774628683515,0.05622489959838698,0.9842465753424657,True,0.9882496909668395,0.9279379173616783,0.9632146034686033,1.1202305331289975
0.9946005374944437,0.06024096385542704,0.9825342465753425,True,0.9866244222385292,0.9263851423256375,0.9604119787748436,1.1108183542404244
0.9946236121205357,0.06425702811244778,0.9802511415525114,True,0.9849027239891044,0.9248016199354944,0.9575853920406177,1.1014852564952953
0.9946466867466278,0.06827309236946852,0.9775114155251141,True,0.9830858131428662,0.9231868589462052,0.9547347345525674,1.0922305754536599
0.99466976137272,0.07228915662650859,0.9754566210045662,True,0.9811748820435886,0.9215403653817993,0.9518598994184633,1.0830536522581955
0.9946928359988121,0.07630522088352933,0.9723744292237443,True,0.9791711036630137,0.9198616427679113,0.9489607816348807,1.0739538335874308
0.9947159106249043,0.08032128514056938,0.969634703196347,True,0.9770756358515128,0.9181501923770434,0.9460372781558882,1.0649304716089283
0.9947389852509964,0.08433734939759013,0.9679223744292238,True,0.9748896248339417,0.9164055134870681,0.9430892879630929,1.0559829239335128
0.9947620598770884,0.08835341365461087,0.9651826484018264,True,0.9726142081024115,0.9146271036530201,0.9401167121366316,1.0471105535692349
0.9947851345031806,0.09236947791165093,0.9639269406392694,True,0.9702505168219273,0.9128144589926809,0.9371194539274561,1.0383127288761531
0.9948082091292727,0.09638554216867168,0.9622146118721461,True,0.9677996778381218,0.9109670744861487,0.9340974188307772,1.0295888235214927
0.9948312837553649,0.10040160642571173,0.9592465753424657,True,0.9652628153567738,0.9090844442895797,0.9310505146605192,1.0209382164347602
0.994854358381457,0.10441767068273247,0.9561643835616438,True,0.9626410523505976,0.9071660620635738,0.9279786516251493,1.0123602917638639
0.994877433007549,0.10843373493975321,0.9526255707762558,True,0.9599355117370467,0.9052114213161836,0.9248817424044413,1.0038544388309776
0.9949005076336412,0.11244979919679328,0.9495433789954338,True,0.957147317363,0.9032200157609982,0.9217597022275406,0.9954200520891933
0.9949235822597333,0.11646586345381402,0.9468036529680365,True,0.9542775948251608,0.9011913396904246,0.9186124489521776,0.9870565310795293
0.9949466568858254,0.12048192771083475,0.9445205479452055,True,0.951327472149791,0.8991248883642711,0.9154399031448954,0.9787632803879409
0.9949697315119176,0.12449799196787482,0.9414383561643835,True,0.9482980803516519,0.8970201584139731,0.9122419881625503,0.9705397096030539
0.9949928061380097,0.12851405622489556,0.9393835616438356,True,0.9451905538883932,0.8948766482625357,0.9090186302349528,0.9623852332742499
0.9950158807641019,0.13253012048193563,0.934931506849315,True,0.9420060310239342,0.8926938585602031,0.9057697585484826,0.9542992708697103
0.9950389553901939,0.13654618473895636,0.93162100456621,True,0.9387456541127703,0.8904712926362213,0.9024953053310578,0.9462812467354017
0.995062030016286,0.1405622489959771,0.9284246575342465,True,0.9354105698145658,0.888208456966447,0.8991952059379845,0.9383305900538209
0.9950851046423782,0.14457831325301718,0.9254566210045662,True,0.932001929247777,0.8859048616571149,0.8958693989390657,0.930446734803475
