rang_global,paire,index,temps,distance
1,2-3,1842,18.42,0.024896823804536852
2,1-2,6699,66.99,0.024982602187225696
3,1-2,6213,62.13,0.025048948562932667
4,1-2,7532,75.32000000000001,0.025168408858899247
5,1-2,7185,71.85000000000001,0.025930281062383202
6,1-2,5727,57.27,0.026003182499011807
7,1-2,7046,70.46000000000001,0.02619401542870084
8,1-2,7879,78.79,0.02620535955473116
9,1-2,6352,63.52,0.026504887619058927
10,2-3,110,1.1,0.0265352463608584
