modele,parametre_1,parametre_2,parametre_3,R2,RMSE,AIC
Weibull,0.00823878819298383,0.8308996852128602,,0.9841643142049634,0.010001713371209543,-2298.4994317718324
Exponentielle,0.9915536493590557,116.18380077299794,,0.9813428951393671,0.010856206424273688,-2257.5091709333715
Logistique,0.006812687357440431,264.8844587416637,,0.9481985398638813,0.018089516831796142,-2002.2113445319794
