regime,t_debut,t_fin,N_etats,D_T_mean,S_T,S_T_norm,D_c,u_c,R_super,theta_mean,theta_median,theta_std,theta_max,R_170
interaction_initiale,0.0,54.99,5500,0.013340670000859891,0.00819274874309167,0.6141182371322875,0.028651831357958433,0.36268767301613747,0.05000909256228405,3.2452583525913195,0.8901652038895043,9.48866047126254,153.35713008133814,0.0
orbite_externe_liee,55.0,116.32000000000001,6133,0.006767966267214275,0.01048647370586677,1.5494275963912343,0.01906262926946604,0.23084458852926087,0.050065231572080884,4.888287972038602,0.70955712281601,11.906839422440944,111.66092877933137,0.0
apres_ejection,118.86,300.0,18115,0.013778196995322426,0.011919973428629119,0.8651330382832995,0.03800868981384985,0.5344985073223387,0.050016561775422325,13.517087269245154,0.40247186651742906,39.98172466849485,178.99123492799103,0.03461602164191465
