u_grid,survival_empirical
0.0,1.0
0.004016064257028112,0.644875
0.008032128514056224,0.326875
0.012048192771084336,0.21925
0.01606425702811245,0.160625
0.020080321285140562,0.116625
0.024096385542168672,0.08425
0.028112449799196783,0.072375
0.0321285140562249,0.061875
0.03614457831325301,0.05275
0.040160642570281124,0.045
0.04417670682730923,0.039875
0.048192771084337345,0.034875
0.05220883534136546,0.027625
0.056224899598393566,0.026
0.06024096385542168,0.024625
0.0642570281124498,0.0235
0.0682730923694779,0.022875
0.07228915662650602,0.0215
0.07630522088353413,0.020875
0.08032128514056225,0.02025
0.08433734939759036,0.01975
0.08835341365461846,0.019375
0.09236947791164658,0.018625
0.09638554216867469,0.018125
0.1004016064257028,0.0175
0.10441767068273092,0.01725
0.10843373493975902,0.01675
0.11244979919678713,0.01625
0.11646586345381525,0.015875
0.12048192771084336,0.0155
0.12449799196787148,0.01525
0.1285140562248996,0.014875
0.1325301204819277,0.014875
0.1365461847389558,0.0145
0.14056224899598393,0.014125
0.14457831325301204,0.013875
0.14859437751004015,0.01375
0.15261044176706826,0.01325
0.15662650602409636,0.013
0.1606425702811245,0.012625
0.1646586345381526,0.0125
0.1686746987951807,0.012375
0.17269076305220882,0.012125
0.17670682730923692,0.011875
0.18072289156626503,0.011875
0.18473895582329317,0.011875
0.18875502008032127,0.011875
0.19277108433734938,0.01175
0.1967871485943775,0.011625
0.2008032128514056,0.011375
0.20481927710843373,0.011
0.20883534136546184,0.010875
0.21285140562248994,0.010875
0.21686746987951805,0.01075
0.22088353413654616,0.010625
0.22489959839357426,0.010625
0.2289156626506024,0.0105
0.2329317269076305,0.010125
0.2369477911646586,0.01
0.24096385542168672,0.009875
0.24497991967871482,0.009625
0.24899598393574296,0.0095
0.25301204819277107,0.0095
0.2570281124497992,0.009375
0.2610441767068273,0.009125
0.2650602409638554,0.009125
0.2690763052208835,0.009
0.2730923694779116,0.009
0.2771084337349397,0.00875
0.28112449799196787,0.00875
0.285140562248996,0.008625
0.2891566265060241,0.008625
0.2931726907630522,0.0085
0.2971887550200803,0.008375
0.3012048192771084,0.008125
0.3052208835341365,0.008125
