Observable,Valeur
D_T_mean,0.2727562560198964
S_T,0.9685927849803511
S_T_norm,3.551129492368807
D_c,0.6807654044819522
u_c,0.037467414462870115
R_super,0.05
A_H,0.9915536493590557
B_H,116.18380077299794
theta_mean,4.565765422567737
theta_median,1.9588635029549823
theta_std,12.132942605654517
theta_max,174.39723236684716
R_170,0.00025003125390673836
R_175,0.0
R_180,0.0
lambda_finite_time,0.7479258276287727
energy_rel_error_max,2.6750671277902354e-07
momentum_norm_max,3.3123244500560894e-14
angular_rel_error_max,2.919281010742761e-09
best_survival_model,Weibull
best_survival_R2,0.9841643142049634
best_survival_RMSE,0.010001713371209543
best_survival_AIC,-2298.4994317718324
