time,x_1,y_1,vx_1,vy_1,x_2,y_2,vx_2,vy_2,x_3,y_3,vx_3,vy_3
0.0,-1.0333333333333334,-0.2733333333333333,0.1,0.42666666666666664,0.9666666666666667,-0.2733333333333333,-0.16,-0.35333333333333333,0.06666666666666668,0.5466666666666666,0.06,-0.07333333333333333
0.01,-1.032299477346518,-0.26905080174004364,0.1067772651732374,0.42983864366558605,0.9650292484356583,-0.27684391284405935,-0.16748228837490003,-0.3487787711537856,0.0672702289108596,0.545894714584103,0.060705023201662614,-0.0810598725118005
0.02,-1.0311976645211385,-0.26473658034150915,0.1135915839279653,0.4330046559828802,0.9633170456231919,-0.28030883136195767,-0.1749571593854899,-0.34420099002406646,0.0678806188979465,0.5450454117034668,0.06136557545752457,-0.08880366595881374
0.03,-1.0300275177860225,-0.2603907279484909,0.12044426824281634,0.43616486964369494,0.9615301251170317,-0.2837278523239489,-0.18242606953049942,-0.33959911209875215,0.06849739266899073,0.5441185802724398,0.061981801287683096,-0.09656575754494286
0.04,-1.0287886467996836,-0.2560133017482006,0.12733666035700128,0.43931944334296685,0.9596685392563878,-0.2871007302922459,-0.18989047219988997,-0.3349722401955641,0.06912010754329571,0.5431140320404464,0.06255381184288869,-0.10434720314740283
0.05,-1.0274806476425782,-0.25160435737770065,0.13427013421016903,0.44246852814934834,0.957732325857403,-0.29042721075810196,-0.19735181928456438,-0.33031945686164577,0.06974832178517511,0.5420315681358026,0.0630816850743954,-0.11214907128770266
0.06,-1.0261031024895493,-0.24716394900369668,0.14124609694192838,0.44561226719215624,0.9557215082160451,-0.293707029931434,-0.2048115627888593,-0.3256398234027844,0.07038159427350404,0.5408709789351306,0.063565465846931,-0.11997244378937189
0.07,-1.0246555792710297,-0.2426921294031292,0.14826599045797434,0.4487507953069504,0.9536360951003489,-0.29693991452432206,-0.21227115644823458,-0.32093237885788967,0.07101948417068069,0.5396320439274511,0.06400516599026039,-0.1278184164490608
0.08,-1.023137631318403,-0.23818895004730098,0.15533129306420454,0.4518842386504374,0.9514760807264839,-0.3001255815240823,-0.2197320573572667,-0.3161961389250251,0.071661550591919,0.5383145315713832,0.06440076429306235,-0.13568809972541235
0.09,-1.0215487969918733,-0.23365446119047878,0.16244352117321603,0.45501271428359996,0.9492414447173502,-0.3032637379545758,-0.22719572761285103,-0.31143009483678924,0.072307352274523,0.5369181991450545,0.06475220643963527,-0.1435826194468108
0.1,-1.0198885992902622,-0.22908871196322655,0.16960423108812236,0.45813632971911783,0.9469321520438047,-0.3063540806254019,-0.234663635977356,-0.30663321218086353,0.07295644724645725,0.5354427925886284,0.06505940488923401,-0.1515031175382544
