time,r12,r13,r23
0.0,2.0,1.3720058308913996,1.217538500417954
0.01,1.9973439291757769,1.3686452182708875,1.217731541104403
0.02,1.994575499695102,1.3651812874939988,1.2177914521183728
0.03,1.99169437072551,1.3616138240721247,1.217718020391495
0.04,1.9887001807692155,1.3579426086809059,1.2175110105546383
0.05,1.9855925473513527,1.3541674171302323,1.2171701647862048
0.06,1.982371066672591,1.3502880203449625,1.2166952026302502
0.07,1.9790353132467515,1.3463041843600472,1.2160858208024665
0.08,1.9755848395131956,1.342215670329269,1.2153416929750425
0.09,1.972019175420949,1.3380222345478754,1.2144624695382775
0.1,1.9683378279840087,1.3337236284898635,1.2134477773389913
0.11,1.964540280807313,1.3293195988607904,1.2122972193957795
0.12,1.9606259935828807,1.3248098876671242,1.2110103745911798
0.13,1.956594401555636,1.3201942323032791,1.2095867973408154
0.14,1.952444914958484,1.3154723656576508,1.208026017239594
0.15,1.948176918416204,1.3106440162391169,1.2063275386850516
0.16,1.9437897703177909,1.3057089083256694,1.204490840477935
0.17,1.9392828021568715,1.3006667621370338,1.2025153754001294
0.18,1.9346553178156218,1.2955172940295436,1.2004005697496873
0.19,1.9299065927827685,1.2902602167125632,1.198145822825296
0.2,1.9250358734028632,1.284895239506435,1.1957505064454703
0.21,1.920042376020432,1.2794220686223128,1.193213964386094
0.22,1.9149252861050017,1.2738404074792375,1.1905355118082441
0.23,1.9096837573230698,1.268149957057598,1.1877144346499968
0.24,1.9043169105539395,1.2623504162918973,1.1847499889806592
0.25,1.8988238328474685,1.2564414825062598,1.1816414003168174
0.26,1.8932035763218296,1.250422851896517,1.1783878628996114
0.27,1.8874551569994353,1.2442942200631406,1.1749885389326586
0.28,1.8815775535792174,1.2380552825997786,1.1714425577800922
0.29,1.8755697061435366,1.2317057357426833,1.167749015124188
0.3,1.8694305147980554,1.2252452770869042,1.1639069720821051
0.31,1.8631588382429898,1.218673606375766,1.1599154542812782
0.32,1.856753492272656,1.2119904263707209,1.1557734508918744
0.33,1.8502132480802638,1.2051954437944068,1.1514799135274014
0.34,1.8435368305515005,1.198288370372192,1.147033755152979
0.35000000000000003,1.8367229164982148,1.1912689239910093,1.1424338489597052
0.36,1.8297701327230873,1.1841368299551065,1.1376790271330963
0.37,1.8226770539947095,1.1768918223678948,1.1327680795722377
0.38,1.815442200893616,1.1695336456502456,1.1276997525316286
0.39,1.8080640375231187,1.1620620562075108,1.1224727471835192
0.4,1.8005409690788696,1.1544768242588943,1.1170857180986342
0.41000000000000003,1.7928713392712388,1.1467777358443463,1.1115372716432919
0.42,1.7850534275947205,1.1389645950258376,1.105825964291042
0.43,1.777085446438781,1.1310372263017803,1.0999503008470843
0.44,1.7689655380339984,1.122995477255629,1.0939087325832355
0.45,1.760691771115984,1.114839221481338,1.0876996551906628
0.46,1.7522621373950507,1.106568361788538,1.0813214066302486
0.47000000000000003,1.7436745478805489,1.098182833714748,1.0747722649186477
0.48,1.7349268288901156,1.08968260939356,1.068050445721599
0.49,1.7260167178063448,1.0810677018090724,1.0611540998050601
0.5,1.7169418585386746,1.072338169480853,1.0540813103144755
0.51,1.7076997966735603,1.0634941216198341,1.0468300898753822
0.52,1.6982879742962584,1.0545357237998172,1.0393983775089781
0.53,1.6887037244664462,1.0454632041950827,1.0317840353550922
0.54,1.6789442652603077,1.0362768604836614,1.0239848451202511
0.55,1.669006693385289,1.0269770674567624,1.0159985042740194
0.56,1.6588879773613443,1.0175642853951405,1.0078226220000777
0.5700000000000001,1.6485849501738086,1.0080390693326946,0.9994547148149788
0.58,1.6380943013728972,0.9984020792968685,0.9908922018392533
0.59,1.627412568573701,0.9886540916267428,0.9821323996913851
0.6,1.6165361283146715,0.9787960114767376,0.9731725169798533
0.61,1.6054611861797825,0.9688288866857037,0.9640096482899033
0.62,1.5941837661440745,0.9587539231295921,0.9546407676500265
0.63,1.5826996990682687,0.9485725017318041,0.9450627214103603
0.64,1.5710046102462638,0.9382861973432047,0.9352722204321071
0.65,1.559093905926827,0.9278967996882724,0.9252658315214612
0.66,1.5469627587007386,0.9174063366344691,0.9150399679870571
0.67,1.5346060916403272,0.9068171000565105,0.9045908791977721
0.68,1.5220185610699595,0.8961316745928601,0.8939146390058641
0.6900000000000001,1.509194537815364,0.8853529696625404,0.8830071328349592
0.7000000000000001,1.4961280867876865,0.8744842550929225,0.8718640432678252
0.71,1.482812944708642,0.8635292008325858,0.8604808338439971
0.72,1.469242495781787,0.8524919212180054,0.8488527307923719
0.73,1.4554097450852472,0.8413770243362215,0.8369747023514063
0.74,1.4413072894149115,0.8301896671303496,0.8248414352081891
0.75,1.4269272853098467,0.8189356168598647,0.8124473076265136
0.76,1.4122614138882175,0.8076213197904534,0.7997863585066648
