time,theta_deg
0.02,0.39419900627057247
0.03,0.3923292460881096
0.04,0.39044899464241173
0.05,0.3885591054955813
0.06,0.38666061716831424
0.07,0.38475475394744
0.08,0.382842919216507
0.09,0.38092669631984455
0.1,0.37900784986080444
0.11,0.377088326755505
0.12,0.37517025700653583
0.13,0.37325595422650665
0.14,0.37134791591073046
0.15,0.36944882345204944
0.16,0.3675615418555974
0.17,0.3656891191144785
0.18,0.3638348118781905
0.19,0.3620021251443245
0.2,0.3601946554463672
0.21,0.3584162772959957
0.22,0.35667106653282105
0.23,0.3549633065438986
0.24,0.3532974962331864
0.25,0.35167835702361727
0.26,0.35011083957122996
0.27,0.3486001300284347
0.28,0.3471516556220275
0.29,0.34577108934284273
0.3,0.3444643534173214
0.31,0.3432376213300067
0.32,0.34209731775910945
0.33,0.34105011573529
0.34,0.3401029833815183
0.35000000000000003,0.339263144879209
0.36,0.3385381033929951
0.37,0.3379356388675549
0.38,0.33746380209040167
0.39,0.33713091970098025
0.4,0.33694560114791317
0.41000000000000003,0.33691674725850407
0.42,0.33705355969870643
0.43,0.3373655507085258
0.44,0.3378625512610354
0.45,0.3385545907050578
0.46,0.33945205770969916
0.47000000000000003,0.3405657774236553
0.48,0.3419068352457677
0.49,0.3434867157663982
0.5,0.345317300733716
0.51,0.34741091977334065
0.52,0.34978042730647446
0.53,0.3524392995645598
0.54,0.35540156806164225
0.55,0.3586820379847611
0.56,0.36229648959624855
0.5700000000000001,0.3662616954960373
0.58,0.37059567682827377
0.59,0.37531794144136127
0.6,0.38044983695868717
0.61,0.38601477369359394
0.62,0.39203876891216694
0.63,0.398550969470547
0.64,0.40558425142352145
0.65,0.4131760576138804
0.66,0.4213693328577547
0.67,0.4302137082246978
0.68,0.43976695786557435
0.6900000000000001,0.45009672574348303
0.7000000000000001,0.46128273988567103
0.71,0.47341938595836336
0.72,0.48661897311835706
0.73,0.5010156818421287
0.74,0.5167703247949135
0.75,0.5340762747542498
0.76,0.5531663831674376
0.77,0.5743215973255996
0.78,0.5978810133129133
0.79,0.6242538605525638
0.8,0.6539335036497456
0.81,0.6875135290648643
0.8200000000000001,0.725706007478548
0.8300000000000001,0.7693617294768711
0.84,0.8194917924505349
0.85,0.8772904210890462
0.86,0.9441566119931782
0.87,1.0217138368146905
0.88,1.11182276271908
0.89,1.2165841843924234
0.9,1.3383204684245622
0.91,1.4795256119463107
0.92,1.642763878882721
0.93,1.8304887577338604
0.9400000000000001,2.0447478916646675
0.9500000000000001,2.286732708192522
0.96,2.5561331955779045
0.97,2.8502925584967658
0.98,3.1632208794981076
0.99,3.4846655161014777
1.0,3.7996200744929607
1.01,4.088839025066858
1.02,4.3309534335846624
1.03,4.506520027925522
1.04,4.603890495041579
1.05,4.627077959139117
1.06,4.6098287676897876
1.07,4.659804754256696
1.08,5.16287803532779
1.09,8.219527423033423
1.1,128.471125550284
1.11,139.71643313634416
1.12,24.379941806864302
1.1300000000000001,7.61354149397899
1.1400000000000001,7.9990583712803
1.1500000000000001,10.885425052819496
1.16,15.029675826898574
1.17,18.83909928704307
1.18,19.50130824092878
1.19,16.78039676484063
1.2,13.86208141180056
1.21,12.778572452951192
1.22,13.066225315280732
1.23,13.462229621760054
1.24,13.183190642506341
1.25,12.126708196517976
1.26,10.600705496253186
1.27,8.980291363634008
1.28,7.529721802035574
1.29,6.388926431469865
1.3,5.613898241312853
1.31,5.198582995171509
1.32,5.07623326405238
1.33,5.134893208671633
1.34,5.254638510320634
1.35,5.340702051175187
1.36,5.339231844837669
1.37,5.23948643400626
1.3800000000000001,5.066953768414776
1.3900000000000001,4.870729102810041
1.4000000000000001,4.709281586241012
1.41,4.638071425644111
1.42,4.700863488138351
1.43,4.926339838398737
1.44,5.331438823014774
1.45,5.930189263185232
1.46,6.744071979476518
1.47,7.810473959663778
1.48,9.186836041429782
1.49,10.9437270995762
1.5,13.123896946868358
1.51,15.615339356877223
1.52,17.908447266622566
1.53,19.01043383654188
1.54,18.14873195685195
1.55,15.718202470545592
1.56,12.83388480663126
1.57,10.270708775511968
1.58,8.252410475194957
1.59,6.729551728920283
1.6,5.587715505341993
1.61,4.723419260773696
1.62,4.058997560617527
1.6300000000000001,3.539449249764886
1.6400000000000001,3.1263586890025876
1.6500000000000001,2.7927759909072964
1.6600000000000001,2.519568678604879
1.67,2.2929467716635745
1.68,2.1028144559577346
1.69,1.9416634782333857
1.7,1.80382799809549
1.71,1.6849717580423058
1.72,1.581733665535278
1.73,1.4914769511181913
1.74,1.412109548836254
1.75,1.3419552227595106
1.76,1.2796570839373609
1.77,1.2241070890357086
1.78,1.174393246623159
1.79,1.1297582376483069
1.8,1.0895691049344496
1.81,1.0532924791943086
1.82,1.0204769237806324
1.83,0.990736835036858
1.84,0.9637417468600561
1.85,0.9392063233254637
1.86,0.9168835856606452
1.87,0.8965578743978881
1.8800000000000001,0.8780407792100163
1.8900000000000001,0.8611663817175145
1.9000000000000001,0.8457886736206703
1.9100000000000001,0.8317779955912471
1.92,0.8190193845913908
1.93,0.8074102310783736
1.94,0.7968589499084939
1.95,0.7872835151438371
1.96,0.7786101718093801
1.97,0.7707727688447946
1.98,0.7637114951508782
1.99,0.7573725002584498
2.0,0.7517072920491583
2.0100000000000002,0.7466717320938769
2.02,0.7422261063982525
2.0300000000000002,0.7383344533172835
2.04,0.7349640681254881
2.05,0.732085462789824
2.06,0.7296720609999868
2.07,0.7276995450148518
2.08,0.7261461105462426
2.09,0.7249920663785346
2.1,0.7242195609159557
2.11,0.7238125281225197
2.12,0.7237566278708968
2.13,0.7240389064579273
2.14,0.7246477291024327
2.15,0.7255727957176032
2.16,0.7268049866240833
2.17,0.7283361153697144
2.18,0.730158955884831
2.19,0.7322672590005139
2.2,0.734655701746072
2.21,0.7373195345302791
2.22,0.7402546182731845
2.23,0.7434576167308281
2.24,0.7469258005993211
2.25,0.7506569229643844
2.2600000000000002,0.7546491308671733
2.27,0.7589010157000103
2.2800000000000002,0.7634116383323215
2.29,0.768180528243727
2.3000000000000003,0.7732076552519485
2.31,0.7784929237944201
2.32,0.7840365784709122
2.33,0.7898393184064978
2.34,0.7959020605640555
2.35,0.8022260011053118
2.36,0.8088123754137992
2.37,0.8156625348032316
2.38,0.822778009253381
2.39,0.8301605539924386
2.4,0.8378121777318478
2.41,0.8457351503982071
2.42,0.8539319861022381
2.43,0.8624044945260982
2.44,0.8711549666974493
2.45,0.8801864147597148
2.46,0.8895016490984938
2.47,0.8991037918850298
2.48,0.9089959239181804
2.49,0.9191812652488401
2.5,0.9296633232626179
2.5100000000000002,0.9404460014393016
2.52,0.9515336620333719
2.5300000000000002,0.9629311361333251
2.54,0.9746434396184902
2.5500000000000003,0.9866748976052019
2.56,0.9990320228519991
2.57,1.0117212561324638
2.58,1.0247498990287935
2.59,1.038125625503654
2.6,1.0518568703729567
2.61,1.0659531979889638
2.62,1.0804255220133008
2.63,1.0952861558234004
2.64,1.1105481432891158
2.65,1.126225650393082
2.66,1.142335520181486
2.67,1.1588965069222015
2.68,1.1759290617500087
2.69,1.1934556267790044
2.7,1.2115016797689346
2.71,1.2300962785808052
2.72,1.24927191022706
2.73,1.2690630979854107
2.74,1.2895096020759873
2.75,1.310656307011233
2.7600000000000002,1.332552628868322
2.77,1.3552529104256992
2.7800000000000002,1.3788186910487823
2.79,1.4033195703550645
2.8000000000000003,1.4288313861627102
2.81,1.4554387718683894
2.82,1.4832378633859924
2.83,1.5123347421842577
2.84,1.5428468425538073
2.85,1.5749077070544124
2.86,1.608666568622985
2.87,1.6442874989665355
2.88,1.6819579252141277
2.89,1.7218865027527415
2.9,1.7643067355657336
2.91,1.809485080274377
2.92,1.857718656158594
2.93,1.9093450368737113
2.94,1.9647474272689753
2.95,2.0243588667889316
2.96,2.088678423284832
2.97,2.1582713754729688
2.98,2.2337917796584454
2.99,2.3159904627212864
3.0,2.4057356473957454
3.0100000000000002,2.504046754712782
3.02,2.6121005785545197
3.0300000000000002,2.7312889170294623
3.04,2.863249226834643
3.0500000000000003,3.0099209105760107
3.06,3.173609445331572
3.0700000000000003,3.357062371079915
3.08,3.563557534561969
3.09,3.7969988453186496
3.1,4.06200834448842
3.11,4.363988488995879
3.12,4.709101487582688
3.13,5.104062806109209
3.14,5.55556657071447
3.15,6.069036640508157
3.16,6.64625896604968
3.17,7.281392418665393
3.18,7.955152440799133
3.19,8.628171002065937
3.2,9.236988153877531
3.21,9.698956558239688
3.22,9.931452280973383
3.23,9.881783000320198
3.24,9.551154848423149
3.25,8.994887768210981
3.2600000000000002,8.298509113193337
3.27,7.547342706592456
3.2800000000000002,6.806667628783339
3.29,6.116535103222672
3.3000000000000003,5.495894352713113
3.31,4.949564007849147
3.3200000000000003,4.47438398819642
3.33,4.063463237505457
3.34,3.7087067029918646
3.35,3.4021465221549274
3.36,3.1365478321122984
3.37,2.905615832728019
3.38,2.7040018936827
3.39,2.527220294215574
3.4,2.371533561071222
3.41,2.233835470812683
3.42,2.1115441934556145
3.43,2.002509495744213
3.44,1.9049351969339046
3.45,1.8173154934150177
3.46,1.7383820535185894
3.47,1.6670621951189264
3.48,1.6024438659460858
3.49,1.543748730440541
3.5,1.4903083364134089
3.5100000000000002,1.4415466378407389
3.52,1.3969644188151822
3.5300000000000002,1.3561282594160877
3.54,1.3186581597748102
3.5500000000000003,1.2842223041312832
3.56,1.2525268074535378
3.5700000000000003,1.2233129988688562
3.58,1.1963524257747993
3.59,1.1714394022699286
3.6,1.1483926672998188
3.61,1.1270499707637531
3.62,1.1072640526129143
3.63,1.088903557719269
3.64,1.0718529167258857
3.65,1.0560049945824113
3.66,1.0412628848967722
3.67,1.0275415457661523
3.68,1.01476289760778
3.69,1.0028560314503836
3.7,0.9917573601488859
3.71,0.9814104231312633
3.72,0.9717630027180961
3.73,0.9627681633403932
3.74,0.9543844997370861
3.75,0.946574474712653
3.7600000000000002,0.939304208737558
3.77,0.9325435827016576
3.7800000000000002,0.9262662619441386
3.79,0.9204489651353721
3.8000000000000003,0.9150702559502831
3.81,0.9101123485738125
3.8200000000000003,0.9055597124705289
3.83,0.9013989936037117
3.84,0.8976186926075134
3.85,0.894209305386052
3.86,0.8911633723866503
3.87,0.8884754356729044
3.88,0.8861411828491127
3.89,0.884157035532956
3.9,0.8825219382394671
3.91,0.8812356334870954
3.92,0.8802991369677758
3.93,0.8797143089651618
3.94,0.8794839406010769
3.95,0.8796118070948814
3.96,0.8801026871359436
3.97,0.8809623490401237
3.98,0.8821973778236006
3.99,0.8838135260665033
4.0,0.8858185454670714
4.01,0.8882203579092727
4.0200000000000005,0.8910273858519023
4.03,0.8942483597932158
4.04,0.897892177305013
4.05,0.9019679475354806
4.0600000000000005,0.9064850175886977
4.07,0.9114529788370122
4.08,0.9168816512370358
4.09,0.9227810438521225
4.1,0.9291605316504905
4.11,0.9360287924761543
4.12,0.9433956639818539
4.13,0.9512697233487227
4.14,0.9596602073152809
4.15,0.9685754804506598
4.16,0.9780231329808827
4.17,0.9880100902372686
4.18,0.9985426957243735
4.19,1.0096267613340797
4.2,1.0212675783088752
4.21,1.0334698827871351
4.22,1.0462377700731993
4.23,1.0595744169392336
4.24,1.0734779472253306
4.25,1.0879495397027295
4.26,1.102989453745455
4.2700000000000005,1.1185950734790584
4.28,1.1347628125354905
4.29,1.1514876285307853
4.3,1.1687632486110175
4.3100000000000005,1.186582302079379
4.32,1.2049363180371797
4.33,1.2238146411802382
4.34,1.2432056504498339
4.3500000000000005,1.263096808610472
4.36,1.283475045305632
4.37,1.3043257525418577
4.38,1.3256333655441297
4.39,1.3473822905046053
4.4,1.369557597481683
4.41,1.3921454004860834
4.42,1.4151307078964055
4.43,1.4385001705319715
4.44,1.4622443359595587
4.45,1.486355675310392
4.46,1.5108297110880464
4.47,1.535666730956228
4.48,1.5608736539490973
4.49,1.586464010750165
4.5,1.612457400323076
4.51,1.6388846770177763
4.5200000000000005,1.6657880073119304
4.53,1.6932202295320495
4.54,1.72124795961862
4.55,1.7499559718709825
4.5600000000000005,1.7794487065643236
4.57,1.8098445571270467
4.58,1.8412897583070142
4.59,1.8739547909298975
4.6000000000000005,1.908036464013056
4.61,1.9437636197542696
4.62,1.9814013667712425
4.63,2.0212490559628953
4.64,2.0636519451412942
4.65,2.1090010095562906
4.66,2.1577407885979962
4.67,2.2103746544480036
4.68,2.2674725684663537
4.69,2.3296794403738312
4.7,2.39772472785616
4.71,2.472433512679515
4.72,2.5547391215049364
4.73,2.645697079468771
4.74,2.7465002817639546
4.75,2.858494551528546
4.76,2.9831933894845295
4.7700000000000005,3.1222889559187883
4.78,3.277655764804533
4.79,3.4513385333471454
4.8,3.6455145932758657
4.8100000000000005,3.8624121179023305
4.82,4.104157539117923
4.83,4.372521401629236
4.84,4.66850823000875
4.8500000000000005,4.991754992218962
4.86,5.339689587535245
4.87,5.706477064565238
4.88,6.081881854217214
4.89,6.450358642522922
4.9,6.790932322114946
4.91,7.078520478179775
4.92,7.287170365315385
4.93,7.394934307703686
4.94,7.389047259215362
4.95,7.269385557480416
4.96,7.048606720207612
4.97,6.748897122628602
4.98,6.396823766054839
4.99,6.018339144444076
5.0,5.635360538119997
5.01,5.264285405309446
5.0200000000000005,4.916020560476644
5.03,4.5968516307175635
