paire,energie_finale,energie_moyenne_20pct_final,fraction_negative_20pct_final
1-2,-1.7236539667230228,-1.7236700526891562,1.0
1-3,0.03205755081835175,0.3601956978316105,0.46158650843222987
2-3,0.028852641777803376,0.36170388678115023,0.33479075577763895
