Signal,N,Periode_brute_heures,Periode_interpolee_heures,Periode_interpolee_jours,Frequence_interpolee_h_inv,Resolution_periode_approx_h,Ecart_vs_theta_heures,Ecart_vs_theta_secondes,Ecart_relatif_vs_theta_pct
X,8761,85.05825242718446,85.19160340842917,3.549650142017882,0.0117382460241505,0.8283996451659723,-0.03476866652553667,-125.16719949193202,-0.04079566650444583
Y,8761,85.05825242718446,85.19157579089973,3.549648991287489,0.011738249829472237,0.8283991080626202,-0.03479628405497692,-125.26662259791692,-0.040828071414766264
Z,8761,85.05825242718446,85.19267768692261,3.5496949036217753,0.011738098005029647,0.8284205377774092,-0.033694388032103006,-121.29979691557082,-0.03953516641828839
Rayon,8761,84.24038461538461,84.59484128178299,3.5247850534076246,0.011821051790487185,0.8168345133535047,-0.63153079317172,-2273.510855418192,-0.7410039613281939
D_T,8760,84.23076923076923,84.59950748939704,3.5249794787248767,0.011820399783359628,0.8170178844119345,-0.6268645855576693,-2256.7125080076094,-0.735528886535679
Theta,8759,84.22115384615385,84.60477654517447,3.525199022715603,0.011819663626982726,0.8172129483113262,-0.6215955297802367,-2237.743907208852,-0.7293464624231067
