Observable,Valeur
T_grille_best_heures,85.225
C_grille_best_km,457.7444648615614
T_closure_heures,85.2274119554067
T_closure_jours,3.551142164808612
T_closure_secondes,306818.6830394641
Defaut_mean_km,449.03086255813463
Defaut_rms_km,505.76792955450696
Defaut_max_km,1067.6029580860256
Rayon_mean_km,671073.9030893758
Defaut_mean_normalise,0.0006691228201409155
Defaut_rms_normalise,0.0007536694948591185
Angle_fermeture_mean_deg,0.03179767468562311
Angle_fermeture_max_deg,0.09028589849762143
T_theta_heures,85.22637207495471
T_FFT_XYZ_heures,85.19195229541718
Ecart_closure_theta_heures,0.0010398804519837768
Ecart_closure_theta_secondes,3.7435696271415964
Ecart_closure_FFT_heures,0.03545965998951317
Ecart_closure_FFT_secondes,127.65477596224741
