Source_periode,T_heures,T_jours,C_mean_km,C_rms_km,C_max_km,C_norm,Angle_mean_deg,Angle_rms_deg,N_paires,Ecart_a_T_closure_heures,Ecart_relatif_a_T_closure_pct
minimum_fermeture,42.459124883359,1.7691302034732919,67.03226472927952,75.5105733215071,373.6542120628884,0.00015893099646259137,0.0076622558634570435,0.009367031370729103,8718,0.0,0.0
theta_mean_geometrique,42.45932025925082,1.769138344135451,67.65274688163863,74.66435029354862,372.21416252922023,0.00016040213647494146,0.007760620533771325,0.009246958127463595,8718,0.00019537589182050397,0.00046015053856439137
FFT_Y,42.50737082203876,1.7711404509182815,2999.8646251439227,3000.8136012907253,3106.3180572705423,0.007112567001167562,0.4075161603937045,0.4076725712754273,8718,0.048245938679755795,0.11362914052584447
FFT_Z,42.50737557589761,1.7711406489957338,3000.1613114359952,3001.1102126435,3106.616010654258,0.0071132704332868,0.40755646701047704,0.40771286821636277,8718,0.04825069253860903,0.11364033684434206
FFT_X,42.50755617212524,1.7711481738385517,3011.4322468566384,3012.3783122679556,3117.935081993053,0.007139993400274456,0.4090876910869817,0.40924372622554583,8718,0.04843128876623837,0.11406567822414078
FFT_r,42.32294457947915,1.7634560241449646,8510.835477404195,8510.980026066734,8612.790138092176,0.020178873093664035,1.1561809786295503,1.156193113627444,8718,-0.13618030387985414,-0.32073271470846365
FFT_D_T,42.31855813469743,1.7632732556123931,8784.591439171969,8784.72866791228,8885.482147027838,0.0208279382560458,1.1933723526592235,1.193383971762325,8718,-0.14056674866156982,-0.33106369725642204
FFT_theta,42.31404309353814,1.7630851288974225,9066.37217074882,9066.502400838339,9166.167854184063,0.02149602984797296,1.2316540553496822,1.2316652160947006,8718,-0.14508178982086406,-0.3416975508078028
