Signal,Unite,N,Duree_heures,Duree_jours,Pas_heures,Moyenne,Ecart_type,Resolution_cycles_h,Resolution_cycles_jour,Frequence_pic_brute_cycles_h,Frequence_pic_brute_cycles_jour,Periode_pic_brute_heures,Periode_pic_brute_jours,Amplitude_pic_brute,Frequence_pic_interp_cycles_h,Frequence_pic_interp_cycles_jour,Periode_pic_interp_heures,Periode_pic_interp_jours,Amplitude_pic_interp,Decalage_parabolique,Regularite_temporelle,Erreur_temporelle_max_s
X,km,8761,8760.0,365.0,1.0,464.64472895418254,298261.6723791641,0.0001141422212076247,0.002739413308982993,0.02351329756877069,0.5643191416504966,42.52912621359223,1.772046925566343,346666.8591456902,0.023525229160451244,0.5646054998508299,42.50755617212524,1.7711481738385517,349006.09608786827,0.10453267471334836,True,0.0
Y,km,8761,8760.0,365.0,1.0,-507.1561975816027,297988.3661169435,0.0001141422212076247,0.002739413308982993,0.02351329756877069,0.5643191416504966,42.52912621359223,1.772046925566343,346158.91226816474,0.023525331740384445,0.5646079617692267,42.50737082203876,1.7711404509182815,348533.72667203716,0.10543137750812595,True,0.0
Z,km,8761,8760.0,365.0,1.0,-11.898896722349196,11556.737040173974,0.0001141422212076247,0.002739413308982993,0.02351329756877069,0.5643191416504966,42.52912621359223,1.772046925566343,13422.03341305476,0.02352532910940323,0.5646078986256775,42.50737557589761,1.7711406489957338,13514.00023870959,0.10540832748169797,True,0.0
r,km,8761,8760.0,365.0,1.0,421769.61210368644,1231.7759940748213,0.0001141422212076247,0.002739413308982993,0.023627439789978315,0.5670585549594795,42.323671497584535,1.7634863123993556,1718.5209992043935,0.023627845603277412,0.5670682944786579,42.32294457947915,1.7634560241449646,1718.5407260588154,0.0035553303133938397,True,0.0
D_T,km,8760,8759.0,364.9583333333333,1.0,62356.22015260322,182.10216187424356,0.00011415525114155251,0.0027397260273972603,0.02363013698630137,0.5671232876712329,42.31884057971015,1.7632850241545894,255.62551893654438,0.02363029469995315,0.5671270727988756,42.31855813469743,1.7632732556123931,255.6259737351354,0.0013815715895945766,True,0.0
theta,degrés,8759,8758.0,364.9166666666667,1.0,8.478703799351686,0.024558708820234074,0.00011416828405069072,0.002740038817216577,0.02363283479849298,0.5671880351638314,42.31400966183575,1.7630837359098228,0.03462142477569417,0.02363281612653819,0.5671875870369165,42.31404309353814,1.7630851288974225,0.034621425660741806,-0.00016354765198708704,True,0.0
