lag_hours,lag_days,C_T
480,20.0,0.16633647453209102
481,20.041666666666668,0.16564131680994942
482,20.083333333333332,0.16494240976683774
483,20.125,0.1642397659052391
484,20.166666666666668,0.16353340156779075
485,20.208333333333332,0.16282333006336047
486,20.25,0.16210956535473323
487,20.291666666666668,0.161392122063204
488,20.333333333333332,0.16067101680888612
489,20.375,0.15994626739464737
490,20.416666666666668,0.15921788433399248
491,20.458333333333332,0.15848588250757356
492,20.5,0.1577502800602924
493,20.541666666666668,0.15701109361265936
494,20.583333333333332,0.15626833665737047
495,20.625,0.15552202752618588
496,20.666666666666668,0.15477217788744618
497,20.708333333333332,0.1540188078457884
498,20.75,0.15326192827375199
499,20.791666666666668,0.1525015574527611
500,20.833333333333332,0.1517377128898055
501,20.875,0.15097041123826535
502,20.916666666666668,0.15019966724838926
503,20.958333333333332,0.14942549853543535
504,21.0,0.14864792130995694
505,21.041666666666668,0.14786695169242087
506,21.083333333333332,0.14708260467259412
507,21.125,0.14629490156195896
508,21.166666666666668,0.1455038549474446
509,21.208333333333332,0.14470948180504117
510,21.25,0.1439118041855319
511,21.291666666666668,0.14311083543450484
512,21.333333333333332,0.14230659332010834
513,21.375,0.14149909555795329
514,21.416666666666668,0.14068836141920799
515,21.458333333333332,0.13987440554416755
516,21.5,0.1390572462306869
517,21.541666666666668,0.1382369037213563
518,21.583333333333332,0.13741339445274167
519,21.625,0.13658673597011733
520,21.666666666666668,0.13575694705208485
521,21.708333333333332,0.13492404513225498
522,21.75,0.13408804903097465
523,21.791666666666668,0.13324897786458695
524,21.833333333333332,0.13240685115751638
525,21.875,0.13156168575036967
526,21.916666666666668,0.13071350181417496
527,21.958333333333332,0.1298623162798075
528,22.0,0.12900815015340208
529,22.041666666666668,0.12815102026429495
530,22.083333333333332,0.1272909474462172
531,22.125,0.12642795120794292
532,22.166666666666668,0.12556205088188926
533,22.208333333333332,0.12469326770525273
534,22.25,0.12382162129450866
535,22.291666666666668,0.12294712943610685
536,22.333333333333332,0.12206981228250872
537,22.375,0.12118969152855422
538,22.416666666666668,0.12030678746537861
539,22.458333333333332,0.11942112037413423
540,22.5,0.11853270915121616
541,22.541666666666668,0.11764157571905137
542,22.583333333333332,0.1167477418493849
543,22.625,0.11585122939340099
544,22.666666666666668,0.11495205448718224
545,22.708333333333332,0.11405024369713139
546,22.75,0.11314581498779913
547,22.791666666666668,0.11223879160011803
548,22.833333333333332,0.111329195456062
549,22.875,0.11041705014737284
550,22.916666666666668,0.10950237647225336
551,22.958333333333332,0.10858519625400663
552,23.0,0.10766553429342778
553,23.041666666666668,0.10674340982275317
554,23.083333333333332,0.10581884523398291
555,23.125,0.10489186599072851
556,23.166666666666668,0.10396249706354212
557,23.208333333333332,0.1030307599458375
558,23.25,0.10209667714327442
559,23.291666666666668,0.10116027425725208
560,23.333333333333332,0.10022157357006257
561,23.375,0.09928060166239773
562,23.416666666666668,0.09833738155984897
563,23.458333333333332,0.09739193824131843
564,23.5,0.09644429875152159
565,23.541666666666668,0.09549448726466185
566,23.583333333333332,0.09454252930356835
567,23.625,0.09358845098279087
568,23.666666666666668,0.09263227924825955
569,23.708333333333332,0.09167404045931432
570,23.75,0.09071376245844887
571,23.791666666666668,0.08975147206671281
572,23.833333333333332,0.08878719600565356
573,23.875,0.08782096118802822
574,23.916666666666668,0.08685279988519676
575,23.958333333333332,0.08588273723617001
576,24.0,0.08491080652505023
577,24.041666666666668,0.08393703463011846
578,24.083333333333332,0.08296145279240778
579,24.125,0.08198409102432727
580,24.166666666666668,0.08100498380756473
581,24.208333333333332,0.08002415997664036
582,24.25,0.07904165403394375
583,24.291666666666668,0.07805749998338138
584,24.333333333333332,0.0770717283501136
585,24.375,0.07608437611111883
586,24.416666666666668,0.07509548210820557
587,24.458333333333332,0.07410507865119569
588,24.5,0.0731132045382564
589,24.541666666666668,0.07211989817373594
590,24.583333333333332,0.07112520104722111
591,24.625,0.07012914987754028
592,24.666666666666668,0.06913178769009641
593,24.708333333333332,0.06813316064846572
594,24.75,0.06713330977966911
595,24.791666666666668,0.06613228412733783
596,24.833333333333332,0.06513013105055199
597,24.875,0.06412690026033295
598,24.916666666666668,0.06312264181700696
599,24.958333333333332,0.06211741305414542
600,25.0,0.06111126748146097
601,25.041666666666668,0.060104266004329145
602,25.083333333333332,0.05909646799574152
603,25.125,0.0580879409112407
604,25.166666666666668,0.05707875448000587
605,25.208333333333332,0.0560689791938876
606,25.25,0.05505869144312731
607,25.291666666666668,0.054047977454428464
608,25.333333333333332,0.05303692141322358
609,25.375,0.05202561611499513
610,25.416666666666668,0.0510141615452801
611,25.458333333333332,0.05000266774969301
612,25.5,0.04899124768902028
613,25.541666666666668,0.04798003287567248
614,25.583333333333332,0.04696915561466904
615,25.625,0.04595877125557044
616,25.666666666666668,0.04494904517615343
617,25.708333333333332,0.04394015735690323
618,25.75,0.042932318338045165
619,25.791666666666668,0.041925752937408314
620,25.833333333333332,0.040920721216766834
621,25.875,0.039917519444757674
622,25.916666666666668,0.038916483802608856
623,25.958333333333332,0.03791801021321069
624,26.0,0.0369225649155199
625,26.041666666666668,0.03593071113561088
626,26.083333333333332,0.03494316805483545
627,26.125,0.03396095461961186
628,26.166666666666668,0.03298574791911164
629,26.208333333333332,0.032017848198049294
630,26.25,0.031058027427645234
631,26.291666666666668,0.03010648029887945
632,26.333333333333332,0.02916356136529809
633,26.375,0.028230177384358308
634,26.416666666666668,0.02730641112920731
635,26.458333333333332,0.026392656941968743
636,26.5,0.02548955663677108
637,26.541666666666668,0.02459791441416871
638,26.583333333333332,0.023718702147535332
639,26.625,0.022853058427071915
640,26.666666666666668,0.02200229999195545
641,26.708333333333332,0.021167950881362883
642,26.75,0.020351774036715217
643,26.791666666666668,0.019555811141416943
644,26.833333333333332,0.018782448195513512
645,26.875,0.018034529548899267
646,26.916666666666668,0.017315651187288682
647,26.958333333333332,0.01662984930655502
648,27.0,0.015981269396797206
649,27.041666666666668,0.015376200942246954
650,27.083333333333332,0.014824302170690683
651,27.125,0.014343664751979969
