u_threshold,R_empirical,R_exponential,R_weibull,R_logistic
0.05,1.0,1.327607727906739,0.9999992850786326,0.9995032856744479
0.05756302521008404,1.0,1.307409484633751,0.9999984231265393,0.9994461671286041
0.06512605042016807,1.0,1.287518537727558,0.999996845969366,0.9993824844221387
0.07268907563025209,1.0,1.2679302119767684,0.9999941545238552,0.9993114841773006
0.08025210084033613,1.0,1.248639903298724,0.9999898087644475,0.9992323267900537
0.08781512605042016,1.0,1.2296430776573477,0.9999831004272709,0.9991440766195604
0.0953781512605042,1.0,1.2109352699974532,0.9999731239113938,0.9990456910756621
0.10294117647058823,1.0,1.1925120831952685,0.9999587454513862,0.998936008484024
0.11050420168067226,1.0,1.1743691870249262,0.9999385706296757,0.9988137345963435
0.1180672268907563,1.0,1.156502317140679,0.9999109102942462,0.9986774275996857
0.12563025210084033,1.0,1.1389072740745976,0.9998737449466678,0.998525481464617
0.13319327731092437,1.0,1.121579922249518,0.9998246876672022,0.9983561074563261
0.1407563025210084,1.0,1.1045161890070083,0.9997609456478257,0.9981673136163622
0.1483193277310924,1.0,1.0877120636501212,0.9996792804105643,0.9979568820050321
0.15588235294117647,1.0,1.07116359650071,0.9995759667977128,0.9977223434759567
0.16344537815126048,1.0,1.0548668979710898,0.999446750832515,0.9974609497349367
0.17100840336134454,1.0,1.038818137649819,0.9992868065639836,0.9971696424153386
0.17857142857142855,1.0,1.0230135434013907,0.9990906920279946,0.9968450188819783
0.1861344537815126,1.0,1.007449400479624,0.9988523044789227,0.996483294455387
0.19369747899159662,1.0,0.9921220506545384,0.9985648350721905,0.9960802607289562
0.20126050420168068,1.0,0.9770278913525191,0.998220723208525,0.9956312396335506
0.20882352941176469,1.0,0.962163374809558,0.9978116107857681,0.9951310328887193
0.21638655462184875,1.0,0.9475250072373802,0.9973282966440925,0.9945738664679241
0.22394957983193275,1.0,0.9331093480022564,0.9967606915357322,0.9939533296988416
0.23151260504201676,1.0,0.9189130088163093,0.996097774001114,0.9932623086208517
0.23907563025210082,1.0,0.9049326529411218,0.9953275475897932,0.9924929132328333
0.24663865546218483,1.0,0.8911649944034645,0.9944369999270148,0.9916363982885201
0.2542016806722689,1.0,0.8776067972229514,0.9934120641951061,0.9906830773378165
0.2617647058823529,1.0,0.8642548746514506,0.9922375836732392,0.9896222297753277
0.26932773109243696,1.0,0.8511060884240611,0.9908972800592016,0.9884420007476301
0.27689075630252097,1.0,0.838157348021491,0.989373726382352,0.9871292938952704
0.28445378151260503,0.9990866537275944,0.8254056099436528,0.9876483254073942,0.9856696570721182
0.29201680672268904,0.9974882977508848,0.8128478769943143,0.9857012945231992,0.9840471614028453
0.2995798319327731,0.9953191003539217,0.8004811975766297,0.9835116582086008,0.9822442743196359
0.3071428571428571,0.9926932298207558,0.7883026649993915,0.9810572492665356,0.9802417275737917
0.3147058823529411,0.988925676447083,0.7763094167938335,0.9783147201173309,0.9780183816599781
0.3222689075630252,0.9868706473341705,0.7644986340408313,0.9752595655392483,0.9755510886346656
0.3298319327731092,0.983788103664802,0.7528675407083371,0.971866158336932,0.9728145559705115
0.33739495798319324,0.9805913917113825,0.7414134029988949,0.9681077995030696,0.9697812148792323
0.34495798319327725,0.974882977508848,0.7301335287070835,0.9639567845116819,0.9664210974694633
0.3525210084033613,0.9703162461468204,0.7190252665867329,0.9593844874387376,0.9627017281923078
0.3600840336134453,0.9642653270921338,0.7080860057277724,0.9543614646423658,0.9585880362688367
0.3676470588235294,0.9567302203447882,0.6973131749425536,0.9488575797453092,0.9540422971847026
0.3752100840336134,0.9505651330060509,0.6867042421615155,0.9428421516402938,0.9490241128578343
0.38277310924369745,0.9440575408151616,0.6762567138380394,0.936284127177992,0.943490441698067
0.39033613445378146,0.9382349583285763,0.6659681343623619,0.9291522800899915,0.937395691420275
0.3978991596638655,0.9342390683868022,0.6558360854844015,0.921415437538029,0.930691889051831
0.4054621848739495,0.9292156638885718,0.6458581857453691,0.9130427354578017,0.9233289439599314
0.41302521008403353,0.9243064276743921,0.636032089918024,0.9040039035729617,0.9152550207395914
0.4205882352941176,0.9190546866080603,0.6263554884554466,0.8942695805846973,0.9064170392259577
0.4281512605042016,0.9120904212809682,0.6168261069481984,0.8838116595873582,0.8967613184539407
0.43571428571428567,0.9046694828176732,0.6074417055897384,0.8726036632146117,0.886234379770526
0.44327731092436967,0.8933668226966549,0.5982000786499756,0.8606211473787512,0.8747839211696881
0.45084033613445373,0.8818358260075351,0.5890990539568279,0.8478421317250763,0.8623599699251536
0.45840336134453774,0.8666514442287933,0.5801364923856717,0.8342475540834079,0.8489162134417788
0.4659663865546218,0.8486128553487841,0.5713102873565555,0.8198217452626999,0.8344114987291955
0.4735294117647058,0.8264642082429501,0.562618364339067,0.8045529195092962,0.8188114789884725
0.48109243697478987,0.7983788103664802,0.5540586803647285,0.7884336748462787,0.8020903717113702
0.4886554621848739,0.7723484416029227,0.5456292235468155,0.7714614963477081,0.7842327769717412
0.49621848739495794,0.7508848042013928,0.5373280126074766,0.753639254200618,0.7652354881857704
0.503781512605042,0.7266811279826464,0.529153096412051,0.7349756871993833,0.7451092119027997
0.511344537815126,0.7048749857289645,0.5211025535104686,0.7154858611386464,0.7238800999243209
0.51890756302521,0.6861513871446512,0.5131744916856289,0.69519159046672,0.7015909882759594
0.5264705882352941,0.6621760474940062,0.5053670475086494,0.674121810582803,0.6783022353851293
0.5340336134453781,0.6410549149446284,0.4976783859008823,0.6523128873664378,0.654092058124639
0.5415966386554621,0.6177645849982875,0.4901066997025928,0.6298088499798785,0.6290562804588695
0.5491596638655462,0.5948167599040987,0.48265020924820035,0.6066615327507862,0.6033074356076258
0.5567226890756303,0.5764356661719374,0.4753071619479825,0.5829306120927029,0.5769731980070977
0.5642857142857143,0.5553145336225597,0.4680758318761428,0.5586835250216224,0.5501941635947685
0.5718487394957983,0.5304258476995091,0.4609545193651443,0.5339952569411173,0.5231210424773587
0.5794117647058823,0.5054229934924078,0.45394155060621694,0.5089479880491493,0.4959113723167431
0.5869747899159664,0.4806484758534079,0.4470352772559416,0.4836305900060702,0.4687258988912686
0.5945378151260504,0.45313391939719144,0.44023407604882014,0.4581379674154548,0.44172479773974815
0.6021008403361344,0.4158008905126156,0.4335363484157389,0.4325702422029002,0.41506392416993465
0.6096638655462184,0.3847471172508277,0.42694052010823813,0.40703178309886956,0.3888912765137419
0.6172268907563025,0.35757506564676333,0.4204450408284971,0.3816300870721301,0.3633438396444929
0.6247899159663866,0.3357689233930814,0.41404838386494863,0.35647452461514245,0.3385449446943987
0.6323529411764706,0.3125927617307912,0.40774904573343757,0.3316749661073336,0.3146022404328673
0.6399159663865546,0.28644822468318304,0.40154554582383833,0.30734031189309297,0.29160632660135277
0.6474789915966387,0.2597328462153214,0.3954364260520495,0.28357695398887706,0.26963005451107347
0.6550420168067227,0.23587167484872704,0.38942025051728235,0.2604872022279556,0.24872845970633786
0.6626050420168067,0.2141797008790958,0.38349560516456377,0.23816771189061883,0.22893925871252988
0.6701680672268907,0.1919168854892111,0.37766109745237325,0.21670795317170966,0.21028381870855414
0.6777310924369747,0.1795867108117365,0.37191535602533743,0.19618876493198248,0.19276849590645612
0.6852941176470588,0.16554401187350154,0.3662570303919033,0.17668103581538327,0.17638623482985347
0.6928571428571428,0.1537846786162804,0.36068479060691655,0.15824455478518168,0.16111832505196996
0.7004201680672268,0.14510788902842792,0.35519732695902717,0.14092707029641466,0.14693622229936007
0.7079831932773109,0.13814362370133576,0.34979334966285297,0.12476359262201284,0.13380335503261337
0.715546218487395,0.13140769494234503,0.34447158855582505,0.10977596732617034,0.12167685370566729
0.723109243697479,0.12284507363854322,0.33923079279964674,0.09597273968279416,0.1105091562278053
0.730672268907563,0.11451078890284279,0.334069730586293,0.08334932023639649,0.10024945846358281
0.738235294117647,0.10720401872359858,0.3289871888484842,0.07188845107707477,0.09084499208399013
0.7457983193277311,0.09749971457928987,0.3239819729745638,0.0615609612292404,0.0822421232853071
0.7533613445378151,0.08665372759447426,0.31905290652771456,0.05232678839199401,0.0743872746868623
0.7609243697478991,0.08026030368763558,0.3141988309694459,0.04413623372005059,0.06722767919766802
0.7684873949579831,0.0750085626213038,0.30941860538728877,0.03693140700778969,0.060711979043743876
0.7760504201680671,0.06975682155497202,0.304711106226633,0.03064781210866204,0.05479068579100033
0.7836134453781513,0.06667427788560339,0.3000752270266444,0.025216017179134062,0.0494165184277152
0.7911764705882353,0.06302089279598128,0.29550987816020047,0.020563351746934206,0.04454463672073223
0.7987394957983193,0.060052517410663316,0.29101398657778116,0.016615572872870767,0.04013278643238469
0.8063025210084033,0.05617079575293983,0.28658649555525756,0.013298445823174632,0.036141371837738086
0.8138655462184874,0.0529740837995205,0.2822263644455169,0.010539190517924353,0.032533469522311446
0.8214285714285714,0.04726566959698596,0.277932568433867,0.008267753203277049,0.029274795830200595
0.8289915966386554,0.04121475054229935,0.2737040982971611,0.006417872777223554,0.026333638690518114
0.8365546218487394,0.0368763557483731,0.26953996016658804,0.004927922320280153,0.023680762959528513
