forecast_id,experiment,observable,forecast_value,unit,source_id,source_page,data_level,use_in_current_likelihood
SKA_SOLAR_GAMMA,Future SKA-VLBI solar light deflection,gamma_accuracy,1e-07,dimensionless,LI_SKA2026,1,FUTURE_PROJECTION,False
SKA_JUPITER_GAMMA,Future SKA-VLBI Jupiter light deflection,gamma_accuracy,0.0001,dimensionless,LI_SKA2026,1,FUTURE_PROJECTION,False
